school_name,county_id,school_county,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_students,total_american_indian_alaskan,total_asian,total_hispanic,total_black,total_white,fte_teachers,student_teacher_ratio,coed,school_type,school_level,religious_affiliation,library,high_grade,low_grade
LACORDAIRE ACADEMY SECONDARY,13,ESSEX,17,20,25,18,80,0,2,10,26,42,12,7,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
THE CHILDREN'S INSTITUTE,13,ESSEX,-1,-1,-1,-1,160,0,6,16,51,87,19,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
SACRED HEART HIGH SCHOOL,11,CUMBERLAND,63,78,67,80,288,0,2,28,11,232,24,12,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CUMBERLAND CHRISTIAN SCHOOL,11,CUMBERLAND,34,27,37,30,381,0,2,13,66,289,25,15,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
CREATIVE ACHIEVEMENT ACADEMY-WES,11,CUMBERLAND,6,18,13,15,52,0,0,11,31,9,9,6,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
DOWNE ACADEMY,11,CUMBERLAND,1,6,9,6,24,0,0,9,13,1,4,6,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 8
PINELAND LEARNING CENTER,11,CUMBERLAND,-1,-1,-1,-1,160,0,0,29,75,56,27,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
CREATIVE ACHIEVEMENT ACADEMY-WOO,11,CUMBERLAND,9,1,-1,-1,39,0,0,8,26,5,8,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 10,Grade 2
BANCROFT SCHOOL AT VOORMEES PEDI,7,CAMDEN,5,3,4,12,69,0,3,6,23,28,15,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Pre-K
WALDWICK SEVENTH-DAY ADVENTIST S,3,BERGEN,9,9,-1,2,93,0,2,57,24,4,6,14,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
THE FORUM SCHOOL,3,BERGEN,-1,-1,-1,-1,138,-1,-1,-1,-1,-1,24,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
WOODCLIFF ACADEMY,25,MONMOUTH,8,9,8,9,50,0,0,4,20,26,18,3,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 3
IMMACULATE HEART ACADEMY,3,BERGEN,224,196,204,214,838,1,46,42,17,690,63,13,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
MT ST MARY ACADEMY HIGH SCHOOL,35,SOMERSET,68,82,116,84,350,0,19,14,10,303,58,6,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
MCAULEY SCHOOL,35,SOMERSET,-1,-1,-1,-1,34,0,1,5,10,18,5,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
DE PAUL CATHOLIC HIGH SCHOOL,31,PASSAIC,185,217,227,197,826,-1,-1,-1,-1,-1,56,15,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CLEARVIEW SCHOOL,31,PASSAIC,5,10,11,15,46,0,1,24,8,13,6,8,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 7
BENWAY SCHOOL,31,PASSAIC,3,9,9,10,31,0,1,9,14,7,8,4,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
LAKEVIEW LEARNING CENTER,31,PASSAIC,1,15,15,21,57,0,0,27,15,15,12,5,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 8
ESSEX VALLEY SCHOOL,13,ESSEX,7,13,12,19,55,0,0,15,30,10,10,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 6
MA'OR YESHIVA HIGH SCHOOL FOR BO,25,MONMOUTH,8,8,5,8,29,0,0,0,0,29,5,5,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
SETON HALL PREPARATORY SCHOOL,13,ESSEX,254,235,221,231,941,4,32,60,108,715,71,13,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
SOLOMON SCHECHTER DAY SCHOOL OF,13,ESSEX,46,42,67,41,318,0,6,312,0,0,56,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Grade 6
MOUNT CARMEL GUILD ACADEMY,13,ESSEX,-1,-1,-1,-1,92,0,0,13,75,4,19,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
WINDSOR ACADEMY,31,PASSAIC,8,-1,-1,-1,62,0,0,19,30,12,7,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 9,Grade 1
HAMPTON ACADEMY,5,BURLINGTON,6,9,19,19,61,0,1,6,21,28,8,8,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 7
ARCHBISHOP DAMIANO SCHOOL,15,GLOUCESTER,-1,-1,-1,-1,180,0,5,21,25,128,26,7,Coed,Special Education,Combined elementary and secondary,Catholic,Yes,All Ungraded,All Ungraded
CELEBRATE THE CHILDREN,27,MORRIS,6,6,6,3,97,0,2,5,5,83,15,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
CALAIS SCHOOL,27,MORRIS,11,13,12,8,95,0,1,18,13,63,25,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
ABUNDANT LIFE CHRISTIAN SCHOOL,27,MORRIS,5,5,5,4,85,-1,-1,-1,-1,-1,8,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Kingergarten
VICTORY CHRISTIAN SCHOOL,15,GLOUCESTER,11,11,13,10,125,0,1,1,41,76,20,6,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
FINEST OF THE WHEAT CHRISTIAN AC,7,CAMDEN,2,-1,3,1,6,0,0,0,6,0,2,4,Coed,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
YALE SCHOOL WILLIAMSTOWN CAMPUS,15,GLOUCESTER,8,8,7,9,41,0,0,3,18,20,7,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 5
GARFIELD PARK ACADEMY,5,BURLINGTON,23,28,23,21,132,0,0,21,84,27,21,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
